,target
124,-14.046545914524112
125,-23.680510346275796
126,-15.402796362700029
127,-4.305687558881117
128,-23.217207493823278
129,-27.35028043974859
130,-14.378179757802283
131,-28.663040928267364
132,-17.091152596496194
133,-20.88646768176225
134,-17.530058587500257
135,-16.686038713531595
136,-16.75629692505124
137,-11.223745108282639
138,-15.561753007338327
139,-21.94838706475569
140,-21.499258705594993
141,-21.43078745364268
142,-16.398375940248748
143,-15.385941056216529
144,-22.758014039515793
145,-6.465126242414727
146,-24.29064832999259
147,-20.743930420134085
148,-18.396968070245553
149,-14.707806113925015
150,-26.84833209702443
151,-22.236565819122664
152,-14.55414750186656
153,-28.97228422055476
154,-18.73436933457095
155,-25.68073824403091
156,-22.54835566114952
157,-21.868673434732077
158,-22.81005265310051
159,-19.937513910788105
160,-9.67710693882085
161,-17.21319461518673
162,-26.4305914739382
163,-12.673762900490656
164,-21.51794841512624
165,-16.916134207773176
166,-24.01034359389461
167,-18.2015151971748
168,-14.78576801309583
169,-31.653806369521803
170,-11.678706096945586
171,-25.974449764480237
172,-17.249569211908167
173,-24.51363590887711
174,-11.764244751832427
175,-29.866850439363223
176,-22.10626813195497
177,-16.137925009726207
178,-22.547215569051783
179,-20.657856280369295
180,-15.531638004291276
181,-25.211100167003348
182,-18.972378806256273
183,-16.753868478084964
184,-16.202892019415724
185,-16.997038732413237
186,-23.30357410781743
187,-25.90241535977356
188,-22.64280853066749
189,-22.769407901034736
190,-23.85407905697427
191,-18.621624010606148
192,-14.840075528152896
193,-13.404270576954639
194,-23.346317949386844
195,-17.307199401549603
196,-15.076312854664403
197,-29.392834053700398
198,-27.096634957499425
199,-24.241723961315614
200,-6.670979491551879
201,-15.018232448125021
202,-9.075248026538404
203,-11.638488276956899
204,-10.454626333713744
205,-10.851695290886592
206,-12.414220285571943
207,-8.702224444662875
208,-9.992840565922727
209,-6.628919605312145
210,-5.54912575088889
211,-7.351999532767287
212,-5.593829699713265
213,-15.670373041999042
214,-14.888026964065858
215,-10.964656581362256
216,-7.543392734809327
217,-6.587264817514955
218,-8.71841095682355
219,-10.102822655022987
220,-14.67487170826452
221,-14.503747659088155
222,-4.219983092972837
223,-5.688023491960113
224,-13.483513453635403
225,-10.125535620552409
226,-16.57296996879965
227,-10.769013816579447
228,-7.875633194889912
229,-11.767625928552818
230,-8.639791328052738
231,1.2429176676709712
232,-11.98836904454875
233,-3.969659384313881
234,-13.037735419418008
235,-13.67852646094044
236,-10.958722848701507
237,-1.4579120080376038
238,-17.442012474995032
239,-10.340191523713052
240,-2.240960986938086
241,-14.35276764849098
242,-14.84414850401696
243,-15.343892337604535
244,-0.15804465236749016
245,-14.26727291862069
246,-6.007276407739819
247,-1.4092182915790246
248,-13.053001273868183
249,-8.782407591598199
250,-5.3548936794698605
251,-9.321637559272913
252,-15.188209167395826
253,-12.346011392912166
254,-12.218312841422442
255,-7.0592219827007305
256,-13.847139146602094
257,-16.964649952513106
258,-10.232744361878096
259,-6.769744671331742
260,1.078667261925811
261,-7.651883578224744
262,-7.919405110030253
263,-9.277993888515173
264,-12.936230492395765
265,-18.20773627087798
266,-14.118397083785537
267,-16.663414817933774
268,-16.00146986045697
269,-8.157782471880584
270,-3.779241826345098
271,-5.410883659186145
272,-14.102948643626718
273,-2.200823688195658
274,-9.89685767338496
275,-14.667256083227564
276,-15.767080364912069
277,-15.580276456162355
278,-10.440344537185194
279,-17.503305172763397
280,-12.959200001796436
281,-9.830036365320154
282,-13.909277670761123
283,-10.021934996586081
284,-14.006175570152005
285,-12.813220139707814
286,-11.492499427495389
287,-4.516152227024129
288,-7.623238412534071
289,-20.762760365929864
290,-10.613973354865902
291,-11.437613293813488
292,-6.234375097384332
293,-13.490965092446947
294,-16.470573542927347
295,-19.93227595343483
296,-2.5539706338163617
297,-7.294763451916116
298,-12.952458382220499
299,-13.64549898801436
300,-12.776662734763455
301,-15.513632362918715
302,-15.154564278035446
303,-8.54505324752418
304,-5.170675100586177
305,-17.83487075927959
306,-14.223326918393186
307,-12.97396023161109
308,-4.1629340020833245
309,-14.632999009069879
310,-13.258650126872885
311,-4.92631860626282
312,-12.408451252042441
313,-7.808196164088948
314,-7.763874166478338
315,-10.602655504711949
316,-12.774127609595025
317,-8.76148616048281
318,-8.250053641258363
319,-19.661114010838023
320,-10.94052727087964
321,-5.069761172488665
322,-10.85460522661976
323,-12.596444856026356
324,-6.492817370068244
325,-12.686720495941561
326,-7.166520181742028
327,-7.798790715150692
328,-0.8379470900191218
329,-10.997246284731366
330,-11.02622085310535
331,-18.55797084818383
332,-15.89146123340219
333,-6.349193349443078
334,-8.0434619722027
335,-10.846852389172462
336,0.3204012735035562
337,-14.673286909904814
338,-7.95205948434941
339,-6.301556154891203
340,-7.191453180288621
341,-12.550426944404776
342,-13.22268737447762
343,-13.06175942404355
344,-13.488597449543496
345,-9.99779500226683
346,-10.517291419318596
347,-15.675770433241297
348,-7.384046548589197
349,-8.732226099292394
350,-12.985640150914305
351,-16.088945826734182
352,-4.200257240171012
353,0.4457282030857993
354,-3.0198183491270765
355,-2.688944864317759
356,-11.696146672771476
357,-7.481793915259554
358,-11.756134704727126
359,-12.480970808994536
360,-7.385994048521047
361,-7.271729433752656
362,-12.399765035489452
363,-5.820887781402574
364,-12.12809404636639
365,-7.338575014205697
366,-10.143811145825117
367,-14.04162806960586
368,-2.2591427571651517
369,-1.076382783431801
370,-15.172601426927757
371,-12.52529982981712
372,-16.4448311568436
373,-2.7119932798610664
374,-20.266688440004817
375,-14.734077543630807
376,-16.090436391752494
377,-12.107244917196429
378,-10.05548192475779
379,-13.19071178133517
380,-6.892662244738623
381,-12.19221427346073
382,-7.504570636037792
383,-3.933415515919911
384,-13.25789666548658
385,-8.972042743372286
386,-6.851215283190871
387,-6.394661392869609
388,-13.057286404756113
389,-5.937558557065209
390,-6.167933312814913
391,-5.641003868185621
392,-13.695459320144844
393,-8.611258476686439
394,-5.27695586808109
395,-8.10397411048543
396,-10.354332409965647
397,-10.202833681489459
398,-4.936830374371887
399,-12.585271400347121
400,-5.22919170694968
401,-2.0029636787619935
402,10.89611562066751
403,-0.6556507489611287
404,6.655651457645311
405,-0.7007475306187763
406,-5.342069919184438
407,-4.2033816339635
408,3.254924591242113
409,-3.6747006594271916
410,4.184182212470311
411,7.074631947385794
412,12.173147857454495
413,0.8624767534859259
414,3.764481362128276
415,4.645196266951682
416,-1.525495771253973
417,-3.784344294450115
418,-2.5639889969742256
419,-1.7594383591515184
420,-6.968935882529166
421,-9.662750840708085
422,-5.082830289079164
423,-6.6757425619868105
424,5.685843320639181
425,3.5324604216160385
426,-10.730356603476787
427,0.41399646235211085
428,4.476843144011949
429,8.651558355531254
430,-2.0990808301486257
431,0.14820419581459388
432,-1.5564319294702393
433,-3.117186209623019
434,4.5861524336919
435,4.755846429744117
436,0.6478942028652988
437,2.888083756258008
438,-1.3405832766467325
439,-3.215857866136926
440,0.7202598496880586
441,-4.473015190254556
442,-8.403368066338873
443,-1.5823661798985165
444,-0.03161215225693778
445,5.098937907353963
446,-6.290584846822022
447,-3.48793199466277
448,1.7328249943948553
449,1.07843247646919
450,0.7400066271576488
451,-3.1996547960704067
452,1.0453284233350275
453,3.3690905090035743
454,-1.0703090288571673
455,3.2672235723259195
456,0.3657181288768865
457,-8.072227301210798
458,-1.0074185330430403
459,8.699583287443916
460,-4.524603840533949
461,-0.03916060378775432
462,-9.528496052833624
463,-2.73515341270262
464,-0.1210957667537973
465,-3.8294163381636004
466,-2.245569369522836
467,-7.880268294311682
468,-0.465237898191187
469,3.3825767074566047
470,2.1666969829390994
471,2.231206912163464
472,-1.2658837535509209
473,11.40460301132165
474,-2.326289832447907
475,-1.8950333818002636
476,-5.0866098435510345
477,-7.253897614050245
478,3.9469969295713656
479,-2.060627732011533
480,8.404139398053857
481,-1.048761129957474
482,-3.9698909841335452
483,-3.6112932879316757
484,-7.385986807266212
485,-2.8859090185181433
486,7.783901191374176
487,0.8759086323532632
488,6.804772096043925
489,6.305919365903176
490,1.0411041547811601
491,-3.761783182958498
492,-1.0447267882827993
493,-9.209447314285942
494,5.174628340036252
495,4.923297397782116
496,2.3616230329092267
497,1.5192206401342636
498,7.083819999102533
499,3.0924832832821316
500,-11.47447431431901
501,5.063445036309078
502,4.834778687816462
503,3.5890339439287615
504,3.5425095148409533
505,0.9550657397548332
506,-10.125482507738472
507,-2.06222706716403
508,-4.200531663483694
509,-1.756898377633852
510,3.130540715863573
511,-3.9607971640156854
512,-1.1627404884991281
513,-4.473374993571083
514,2.6749212867533725
515,2.6290057646987637
516,-1.5025147768071931
517,-4.22053139033094
518,3.5756834517998226
519,7.289856234639241
520,6.239759564943432
521,-1.2316663142944728
522,0.13202732066514633
523,-1.433715105207399
524,0.6007133484036671
525,-1.8461754312703014
526,-0.21773262300168517
527,2.2234490076294167
528,-3.439392721394344
529,1.9836728730205584
530,-9.43063425056719
531,-5.329949747697496
532,2.0867744676672166
533,-11.316031502941104
534,-0.5983564558625536
535,-3.9569906794365868
536,2.1190770354818658
537,7.46826533335552
538,3.2597224539890526
539,3.004042931645585
540,0.021698849429310663
541,-0.8196507768889253
542,-3.5380136661367185
543,-7.0897045490702695
544,2.683646870339574
545,-4.0086635988628485
546,0.8070591244749621
547,-0.12431261317035824
548,0.35989003543609965
549,-4.084397765700626
550,-3.2431143334466874
551,-4.014000522757754
552,3.2599519027880763
553,-4.643426180854917
554,0.16841360755219603
555,-6.263742304609584
556,-6.170703548062265
557,2.3884092570452666
558,-0.41022328423596344
559,8.28327439349603
560,2.6918068350795012
561,1.6888846963092565
562,6.643495286821534
563,-9.10193793721809
564,-0.80901068249532
565,-3.5950822207439646
566,-3.1434306697093297
567,-1.451060463156588
568,6.230062513206535
569,5.6764967545981815
570,-6.545879531702697
571,-4.827126732312991
572,-4.834914530490872
573,-6.381320907137683
574,1.2951413282390742
575,-8.186117443398304
576,5.114784758822337
577,-2.112379595055618
578,0.9532657089883854
579,-7.292607163469679
580,-4.494146705828567
581,-0.32645014258988986
582,-0.9351115478046834
583,1.3577209520871152
584,-3.821588640968397
585,9.244794354748569
586,-3.159514424735936
587,6.869568056675179
588,-2.4680006958806198
589,2.404047038729592
590,5.3226724483921
591,-0.5456831925278957
592,0.4381398277510909
593,-4.088120495856345
594,-7.814126024065921
595,-0.5214007451344396
596,0.7622210274209995
597,-1.888494735275755
598,11.384458327883092
599,8.77693281845812
600,9.197436895158717
601,13.410177572364976
602,10.97811218325376
603,6.8205339753845
604,7.310021151948329
605,10.49623207498699
606,15.277878291757773
607,7.8459843405936915
608,7.1010127213404655
609,5.844711981518296
610,12.110888552988737
611,14.154488243465002
612,14.754290815130863
613,6.095814813000119
614,8.49731400484875
615,9.860644364983077
616,6.398891817398937
617,2.047956478144479
618,17.282880547546753
619,7.5913476769750154
620,10.700243694738617
621,10.425081877064033
622,11.664808344006317
623,12.059471435018118
624,6.15097396647065
625,11.4657268271613
626,15.516123574174003
627,13.771208169163017
628,11.39054180711813
629,14.744124511128016
630,6.018808185508034
631,15.195690404325354
632,13.975334840665207
633,10.11970281737985
634,15.372179733777305
635,12.785340312426344
636,12.073968613959256
637,9.784042614549605
638,14.508127737027428
639,20.920581184750375
640,12.882074243995689
641,5.665950893104748
642,7.567729969499931
643,5.869728317033444
644,9.396206056883557
645,5.830043471827537
646,5.283590033697058
647,13.393883928636447
648,10.873829305853176
649,8.691751240940729
650,2.5370009250282357
651,7.084328488669254
652,5.729693513408354
653,-1.2195312992001233
654,10.110546490845774
655,16.32668882995648
656,10.348000407326337
657,14.15078391931611
658,14.223825835959433
659,16.162610502713406
660,11.943320027726632
661,12.408840238988619
662,9.284757365883562
663,14.436384063986043
664,6.997000842182265
665,10.732203314506588
666,5.352418598032715
667,10.787023237300815
668,6.078058898049684
669,14.890642514151573
670,1.0442691260810835
671,7.134764464601805
672,11.39829456713103
673,6.447538308736291
674,5.699719035442312
675,14.110343683781085
676,1.6118903729304468
677,3.997996768827634
678,3.9030629204404503
679,12.816213269387264
680,9.51653270996116
681,10.982370816637975
682,3.103551817655087
683,14.169783943489223
684,9.708714380017637
685,10.074518945893514
686,10.485016258454188
687,7.362631074389174
688,6.360328169785989
689,6.758388980282445
690,8.516915987990016
691,11.846637411188533
692,9.564333669924928
693,12.435077551871549
694,7.974015854532668
695,14.76150653168912
696,10.971092586028327
697,-0.7224187784074712
698,8.115054808473424
699,2.116869691138662
700,11.261100119435833
701,13.777544400830864
702,11.251240345509162
703,6.987741165736413
704,8.804987569248457
705,14.322419860211161
706,11.306545268808025
707,9.041213579374435
708,8.978351046781087
709,5.429036300785393
710,9.284098105358572
711,10.10786545885708
712,13.282066819466198
713,17.110012294680864
714,4.809647956269755
715,7.125054735854765
716,6.417058675444064
717,13.988834638469037
718,8.648264962024825
719,10.912420167979798
720,13.775800308543584
721,3.564290881256311
722,13.878854448088713
723,12.01728930813522
724,3.5471240636925314
725,9.226808467832932
726,11.642015179885513
727,11.675250540865747
728,15.907256087559867
729,8.404111105365585
730,12.547138725510495
731,15.666783298773797
732,5.80469935737698
733,11.069083633644407
734,5.279590307519268
735,7.072209118198936
736,10.557053952603185
737,5.856604466102898
738,17.003622763010874
739,8.498911921271638
740,5.223467384268494
741,9.386613240434976
742,5.827671357743405
743,6.407597969330966
744,15.322486487403955
745,12.346676045792393
746,10.264928260363476
747,10.898500348182681
748,6.653579667144845
749,12.278040675807565
750,4.771003705804687
751,6.434565207742597
752,10.497419783584085
753,11.961203690428848
754,15.658923426213777
755,9.633699420604703
756,8.459066677823033
757,11.493320708435384
758,13.744481635986608
759,9.144329039112366
760,14.625970572112463
761,9.885453147202007
762,14.521306502451234
763,8.820342261357444
764,9.659110684411752
765,2.3768073344398855
766,11.369844751163786
767,8.304266492636305
768,7.989814974219079
769,10.415197666424511
770,12.41018462986406
771,13.530080107028038
772,7.549615907508279
773,6.528331672829037
774,9.92017100021021
775,10.021184403360985
776,7.316685824718771
777,9.444158472536508
778,12.2391383120222
779,10.390352398609139
780,13.721954800913506
781,1.483640964669923
782,5.5915826460767395
783,9.541164514318472
784,10.503306157851748
785,7.3811761817734975
786,13.093256541117594
787,13.334586673457563
788,9.329099438903492
789,8.975732071254734
790,9.698071468632202
791,7.731633092978978
792,11.79909775637763
793,12.709256380428297
794,5.723729039076766
795,13.276641666430177
796,8.544723705428181
797,10.216475015990852
798,9.576828128591861
799,14.085580785351695
800,22.03535037892415
801,22.881251087000912
802,15.797396492391524
803,18.988004467163314
804,25.200575097671937
805,24.533535552778176
806,29.174557926488376
807,21.306482395721915
808,18.5362793788796
809,15.433477690008482
810,24.440522688008176
811,17.989417594681758
812,20.860066420383202
813,28.410027789682363
814,22.135671468732106
815,21.970288020976408
816,18.360456695770257
817,26.369745190227636
818,19.339194690068943
819,17.78995307594008
820,22.8480462984711
821,21.390850978369503
822,18.72988676703167
823,19.073069321631806
824,14.578015467239394
825,15.857045440383327
826,19.66076003316478
827,17.979295201960493
828,22.493407786601104
829,18.903460445489902
830,18.39577431603493
831,20.358949685813066
832,21.194710292325066
833,24.544273940997225
834,16.28873857228647
835,19.619523085507492
836,19.273883724036402
837,24.931832601859345
838,17.841742720193857
839,23.72694906098215
840,22.883802567396526
841,19.030399010214897
842,21.17992022351157
843,23.672203778701544
844,15.778261996307998
845,24.912921998080648
846,18.53709851266487
847,24.87712694892624
848,17.95184970134223
849,17.991303637857214
850,17.455216354908533
851,20.083705014791946
852,16.946781858143936
853,19.938601599693506
854,14.15798546450901
855,13.372606281390103
856,20.28774321795948
857,23.194058837859586
858,17.831749925404992
859,20.67150502506082
860,23.585495462014695
861,20.696172337419522
862,14.441573315718145
863,12.801894523301408
864,15.329841114941276
865,21.051112199876144
866,16.59966687588995
867,28.144446148963024
868,17.21342287981024
869,24.871565982335056
870,20.77239693745825
871,19.67289962827191
872,24.746576491177272
873,18.23602529254818
874,18.431465383971123
875,19.414035501424948
876,20.135124653162652
877,17.728487002742398
878,24.60173417761407
879,26.55871478304963
880,14.750471168726893
881,24.872676449817668
882,14.433708214080873
883,19.885577666312464
884,20.34494300214162
885,15.143124345464567
886,21.558910367525783
887,27.283508833398653
888,16.346048124703337
889,24.7471883413479
890,17.8402464039919
891,21.31640746888946
892,23.98319597818202
893,18.14042837992432
894,15.964806942334095
895,19.716527308847805
896,16.098780098031362
897,14.89127138462506
898,20.301313007881635
899,21.57222330437901
900,27.088463072974847
901,15.106522744191329
902,22.663125390848297
903,16.302046479453537
904,19.981595261587245
905,21.17483124961316
906,26.52936315312732
907,25.069499359099336
908,20.482544538860335
909,27.83044503102946
910,21.884850786271592
911,15.09261795347767
912,18.79970961786326
913,20.277050418489946
914,19.19111462186394
915,23.559660828078773
916,19.126067704996757
917,15.765757962874764
918,21.0307847967451
919,23.834445506355333
920,18.352278121591034
921,16.07994771944696
922,24.219843882079388
923,21.079683245819552
924,20.253887996332526
925,13.66064109219299
926,22.93727795539881
927,22.120794919470658
928,17.400102338034984
929,15.511005375385569
930,24.459047962927244
931,21.682096409632795
932,26.080376517421204
933,15.25127660616103
934,22.172848812592694
935,17.42872577798763
936,21.80678986864918
937,25.70033944412168
938,19.851681552760024
939,20.201636428737803
940,14.11718964746759
941,19.272052076346498
942,20.206450372935794
943,18.494997617834837
944,22.006752932298724
945,18.945999577578455
946,16.814083002861096
947,13.071636189964787
948,21.87908196149261
949,19.477138166374267
950,18.157750955115983
951,18.81262926902359
952,10.109728223369686
953,18.047814980630115
954,18.485307048687886
955,24.354062448491582
956,22.304344060114076
957,22.155695685062646
958,10.94194816206756
959,23.50391515905617
960,14.957335879420288
961,24.3680814497855
962,23.64380218584757
963,23.116762362950702
964,20.957408290554838
965,21.859859023850845
966,21.512267469287575
967,18.1547919037603
968,14.42527032676359
969,19.84452170085749
970,14.008552445028176
971,20.548315634525327
972,22.6588702162993
973,27.390787315221036
974,17.836620645332797
975,20.4857277050149
976,14.628630016455379
977,21.23653346440925
978,19.128166756516528
979,13.537886108370333
980,12.338060910399452
981,22.41363616705391
982,16.677119974845983
983,16.410153905298653
984,17.86519293045806
985,18.30175313449282
986,18.341455376260146
987,16.648292700448042
988,19.64401707517571
989,13.618524959561167
990,23.298101623553933
991,13.823137800450422
992,22.570583627071475
993,19.81138248138113
994,27.727100399974322
995,16.36749992290338
996,21.125462023269755
997,19.75592622743924
998,20.62029820636768
999,22.793789181198463
